   PID    TID %CPU     TIME NLWP  C
 41991  44781  0.0 00:00:01 1072  0
 41991  44782  0.0 00:00:01 1072  0
 41991  44834  0.0 00:00:11 1072  0
 41991  44835  0.0 00:00:01 1072  0
 41991  44836  0.0 00:00:11 1072  0
 41991  44837  0.0 00:00:11 1072  0
 41991  44838  0.0 00:00:01 1072  0
 41991  44839  0.0 00:00:01 1072  0
 41991  44840  0.0 00:00:11 1072  0
 41991  44841  0.0 00:00:11 1072  0
 41991  44842  0.0 00:00:01 1072  0
 41991  44843  0.0 00:00:11 1072  0
 41991  44844  0.0 00:00:12 1072  0
 41991  44845  0.0 00:00:01 1072  0
 41991  44846  0.0 00:00:01 1072  0
 41991  44847  0.0 00:00:12 1072  0
 41991  44848  0.0 00:00:01 1072  0
 41991  44849  0.0 00:00:01 1072  0
 41991  44850  0.0 00:00:01 1072  0
 41991  44851  0.0 00:00:12 1072  0
 41991  44852  0.0 00:00:01 1072  0
 41991  44853  0.0 00:00:01 1072  0
 41991  44854  0.0 00:00:11 1072  0
 41991  44855  0.0 00:00:01 1072  0
 41991  44887  0.0 00:00:11 1072  0
 41991  44897  0.0 00:00:11 1072  0
 41991  44899  0.0 00:00:01 1072  0
 41991  44907  0.0 00:00:01 1072  0
 41991  44948  0.0 00:00:11 1072  0
 41991  44974  0.0 00:00:11 1072  0
 41991  45176  0.0 00:00:11 1072  0
 41991  45185  0.0 00:00:11 1072  0
 41991  45189  0.0 00:00:01 1072  0
 41991  45240  0.0 00:00:11 1072  0
 41991  45241  0.0 00:00:01 1072  0
 41991  45242  0.0 00:00:01 1072  0
 41991  45243  0.0 00:00:01 1072  0
 41991  45244  0.0 00:00:12 1072  0
 41991  45245  0.0 00:00:01 1072  0
 41991  45246  0.0 00:00:01 1072  0
 41991  45247  0.0 00:00:11 1072  0
 41991  45248  0.0 00:00:11 1072  0
 41991  45249  0.0 00:00:01 1072  0
 41991  45250  0.0 00:00:00 1072  0
 41991  45251  0.0 00:00:11 1072  0
 41991  45252  0.0 00:00:01 1072  0
 41991  45253  0.0 00:00:01 1072  0
 41991  45254  0.0 00:00:11 1072  0
 41991  45255  0.0 00:00:11 1072  0
 41991  45256  0.0 00:00:11 1072  0
 41991  45257  0.0 00:00:01 1072  0
 41991  45259  0.0 00:00:01 1072  0
 41991  45260  0.0 00:00:11 1072  0
 41991  45261  0.0 00:00:01 1072  0
 41991  45262  0.0 00:00:12 1072  0
 41991  45263  0.0 00:00:01 1072  0
 41991  45264  0.0 00:00:11 1072  0
 41991  45265  0.0 00:00:01 1072  0
 41991  45266  0.0 00:00:11 1072  0
 41991  45267  0.0 00:00:01 1072  0
 41991  45268  0.0 00:00:01 1072  0
 41991  45269  0.0 00:00:11 1072  0
 41991  45270  0.0 00:00:11 1072  0
 41991  45271  0.0 00:00:01 1072  0
 41991  45273  0.0 00:00:12 1072  0
 41991  45274  0.0 00:00:11 1072  0
 41991  45275  0.0 00:00:01 1072  0
 41991  45276  0.0 00:00:01 1072  0
 41991  45277  0.0 00:00:01 1072  0
 41991  45278  0.0 00:00:11 1072  0
 41991  45279  0.0 00:00:01 1072  0
 41991  45280  0.0 00:00:01 1072  0
 41991  45281  0.0 00:00:11 1072  0
 41991  45282  0.0 00:00:12 1072  0
 41991  45283  0.0 00:00:11 1072  0
 41991  45284  0.0 00:00:11 1072  0
 41991  45285  0.0 00:00:12 1072  0
 41991  45286  0.0 00:00:11 1072  0
 41991  45287  0.0 00:00:11 1072  0
 41991  45288  0.0 00:00:01 1072  0
 41991  45289  0.0 00:00:11 1072  0
 41991  45290  0.0 00:00:01 1072  0
 41991  45291  0.0 00:00:11 1072  0
 41991  45292  0.0 00:00:01 1072  0
 41991  45294  0.0 00:00:11 1072  0
 41991  45295  0.0 00:00:12 1072  0
 41991  45296  0.0 00:00:01 1072  0
 41991  45297  0.0 00:00:01 1072  0
 41991  45298  0.0 00:00:11 1072  0
 41991  45299  0.0 00:00:12 1072  0
 41991  45300  0.0 00:00:11 1072  0
 41991  45301  0.0 00:00:11 1072  0
 41991  45302  0.0 00:00:11 1072  0
 41991  45303  0.0 00:00:01 1072  0
 41991  45304  0.0 00:00:11 1072  0
 41991  45305  0.0 00:00:11 1072  0
 41991  45306  0.0 00:00:01 1072  0
 41991  45307  0.0 00:00:01 1072  0
 41991  45308  0.0 00:00:11 1072  0
 41991  45309  0.0 00:00:11 1072  0
 41991  45310  0.0 00:00:11 1072  0
 41991  45311  0.0 00:00:11 1072  0
 41991  45312  0.0 00:00:01 1072  0
 41991  45313  0.0 00:00:11 1072  0
 41991  45314  0.0 00:00:01 1072  0
 41991  45315  0.0 00:00:11 1072  0
 41991  45316  0.0 00:00:01 1072  0
 41991  45317  0.0 00:00:12 1072  0
 41991  45318  0.0 00:00:01 1072  0
 41991  45319  0.0 00:00:11 1072  0
 41991  45320  0.0 00:00:11 1072  0
 41991  45322  0.0 00:00:01 1072  0
 41991  45323  0.0 00:00:11 1072  0
 41991  45324  0.0 00:00:11 1072  0
 41991  45325  0.0 00:00:01 1072  0
 41991  45327  0.0 00:00:11 1072  0
 41991  45328  0.0 00:00:11 1072  0
 41991  45329  0.0 00:00:01 1072  0
 41991  45330  0.0 00:00:11 1072  0
 41991  45331  0.0 00:00:01 1072  0
 41991  45332  0.0 00:00:11 1072  0
 41991  45333  0.0 00:00:01 1072  0
 41991  45334  0.0 00:00:01 1072  0
 41991  45335  0.0 00:00:12 1072  0
 41991  45336  0.0 00:00:11 1072  0
 41991  45337  0.0 00:00:11 1072  0
 41991  45338  0.0 00:00:01 1072  0
 41991  45339  0.0 00:00:01 1072  0
 41991  45340  0.0 00:00:12 1072  0
 41991  45341  0.0 00:00:01 1072  0
 41991  45342  0.0 00:00:11 1072  0
 41991  45343  0.0 00:00:01 1072  0
 41991  45345  0.0 00:00:11 1072  0
 41991  45346  0.0 00:00:11 1072  0
 41991  45347  0.0 00:00:01 1072  0
 41991  45348  0.0 00:00:01 1072  0
